unit,trip_id,toll_id_start,toll_id_end,toll_name_start,toll_name_end,toll_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_0,126003000,126003200,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T09:10:21-05:00,2023-12-05T09:10:21-05:00,3.03,3.65,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T09:30:31-05:00,2023-12-05T09:30:31-05:00,3.59,4.05,
1000,1000_0,126002800,126003200,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T09:49:51-05:00,2023-12-05T09:49:51-05:00,3.59,4.05,
1000,1000_0,126003201,126002800,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T10:10:09-05:00,2023-12-05T10:10:09-05:00,3.59,4.05,
1000,1000_1,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:31:04-05:00,2023-12-05T23:31:04-05:00,100,,201.8
1000,1000_1,130002600,130000000,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:31:04-05:00,2023-12-05T23:31:04-05:00,100,,201.8
1000,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T01:08:13-05:00,2023-12-07T01:08:13-05:00,108.9,,220
1000,1000_2,128006000,128004200,239 - Eastgate,180 - Akron,ticketSystem1,2023-12-06T18:36:21-05:00,2023-12-06T18:36:21-05:00,11.5,14.5,
1000,1000_2,130003200,130000000,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T01:08:13-05:00,2023-12-07T01:08:13-05:00,108.9,,220
1000,1000_3,130001000,130006000,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-08T03:58:29-05:00,2023-12-08T03:58:29-05:00,143.1,,288.8
1000,1000_3,126001000,126001400,6 - PA Turnpike/Florence,7 - Bordentown/Trenton,ticketSystem1,2023-12-08T04:22:58-05:00,2023-12-08T04:22:58-05:00,7.97,9.25,
1000,1000_3,126001600,126002400,7A - I-195/Trenton/Shore Points,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-08T05:25:56-05:00,2023-12-08T05:25:56-05:00,10.64,12.15,
